,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4382,745H5CctFr12Mo7cqa1BMH,My Girl,80,165000,0,['The Temptations'],1965-03-22,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566
6382,7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,82,151667,0,"['Marvin Gaye', 'Tammi Terrell']",1967-08-29,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991
6383,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,80,183307,0,['Van Morrison'],1967-09-01,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572
8372,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,83,185733,0,['The Beatles'],1969-09-26,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
8373,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,83,140773,0,['Creedence Clearwater Revival'],1969-11-02,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77
9372,38zsOOcu31XbbYj9BIPUF1,Your Song,80,241787,0,['Elton John'],1970-04-10,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157
10372,2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,80,377093,0,['Elton John'],1971-11-05,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075
11372,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,281613,0,['Elton John'],1972-05-19,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
13372,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,83,283800,0,['Lynyrd Skynyrd'],1974-04-15,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
14372,4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,83,354320,0,['Queen'],1975-11-21,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105
15372,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,84,391376,0,['Eagles'],1976-12-08,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
15373,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,81,230400,0,['ABBA'],1976-01-01,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804
15374,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,80,285133,0,['Boston'],1976-01-01,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736
16372,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,86,257800,0,['Fleetwood Mac'],1977-02-04,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
16374,5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,82,270213,0,['Fleetwood Mac'],1977-02-04,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553
16375,6A9mKXlFRPMPem6ygQSt7z,Three Little Birds,80,180267,0,['Bob Marley & The Wailers'],1977-01-03,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404
16376,4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered,80,122067,0,['Queen'],1977-10-28,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308
17372,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,82,209413,0,['Queen'],1978-11-10,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295
17373,2grjqo0Frpf2okIBiifQKs,September,81,215093,0,"['Earth, Wind & Fire']",1978-11-23,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926
17374,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,81,348624,0,['Dire Straits'],1978-10-07,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174
18372,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,84,208400,0,['AC/DC'],1979-07-27,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
18373,07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,80,271240,0,['KISS'],1979-03-23,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373
19372,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,85,255493,0,['AC/DC'],1980-07-25,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
19373,5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,83,214653,0,['Queen'],1980-06-27,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967
19374,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81,210173,0,['AC/DC'],1980-07-25,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361
20372,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',82,250987,0,['Journey'],1981-01-01,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852
21372,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,85,293827,0,['Michael Jackson'],1982-11-30,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046
21373,2374M0fQpWi3dLnB54qaLX,Africa,84,295893,0,['TOTO'],1982-04-08,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
21374,2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,81,248440,0,"['Queen', 'David Bowie']",1982-05-03,0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805
21375,1OOtq8tRnDM8kG2gqUPjAj,Beat It,80,258040,0,['Michael Jackson'],1982-11-30,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858
21376,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,80,188987,0,['The Clash'],1982-01-01,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
22372,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,85,253920,0,['The Police'],1983-06-17,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401
22373,1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,83,183440,0,['Elton John'],1983-05-30,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808
22374,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,83,216933,0,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",1983-01-04,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135
23372,0GONea6G2XdnHWjNZd6zt3,Summer Of '69,83,216053,0,['Bryan Adams'],1984-11-05,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131
23373,0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,80,231333,0,['Wham!'],1984-10-23,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548
23374,7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,80,241600,0,['Van Halen'],1984-01-04,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
24372,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,86,225280,0,['a-ha'],1985-06-01,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
24373,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,84,251489,0,['Tears For Fears'],1985-02-25,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
25372,37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,84,249293,0,['Bon Jovi'],1986-08-16,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
25373,0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,81,222707,0,['Bon Jovi'],1986-08-16,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803
26322,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),83,291293,0,['Whitney Houston'],1987-06-02,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818
26323,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,82,354520,0,"[""Guns N' Roses""]",1987-07-21,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116
26324,6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,80,295516,0,['U2'],1987-03-03,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171
26325,6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,80,277477,0,['U2'],1987-03-03,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894
29322,57bgtoPSgt236HzfBOd8kj,Thunderstruck,83,292880,0,['AC/DC'],1990-09-24,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
30322,1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,83,301920,0,['Nirvana'],1991-09-26,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
30323,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,83,268427,0,['R.E.M.'],1991-03-12,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
30324,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,81,264307,0,['Red Hot Chili Peppers'],1991-09-24,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581
30325,3YRCqOhFifThpSRFJ1VWFM,November Rain,81,536067,0,"[""Guns N' Roses""]",1991-09-17,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759
30326,5sICkBXVmaCQk5aISGR3x1,Enter Sandman,80,331267,0,['Metallica'],1991-08-12,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
30327,0nLiqZ6A27jJri2VCalIUs,Nothing Else Matters,80,388267,0,['Metallica'],1991-08-12,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352
31322,0jWgAnTrNZmOGmqgvHhZEm,What's Up?,81,295533,0,['4 Non Blondes'],1992-01-01,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355
33322,2IZZqH4K02UIYg5EohpNHF,Zombie,81,306427,0,['The Cranberries'],1994-10-03,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973
34322,7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,83,240693,0,"['Coolio', 'L.V.']",1995-11-07,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974
35322,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,81,173027,0,['Spice Girls'],1996-01-01,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008
35323,20fBuVybkHgjF6vNhSMROD,Ambitionz Az A Ridah,80,278387,1,['2Pac'],1996-01-01,0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279
36322,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,80,357267,0,['The Verve'],1997-09-29,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176
38322,48UPSzbZjgc449aqz8bxox,Californication,82,329733,0,['Red Hot Chili Peppers'],1999-06-08,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483
38323,503OTo2dSqe7qk76rgsbep,Still D.R.E.,81,270587,1,"['Dr. Dre', 'Snoop Dogg']",1999-11-16,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
38324,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,81,167067,0,['blink-182'],1999-06-01,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
38325,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,80,213307,0,['Backstreet Boys'],1999-05-18,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039
38326,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,80,211067,0,['Britney Spears'],1999-01-12,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96
38327,1KGi9sZVMeszgZOWivFpxs,No Scrubs,80,214400,0,['TLC'],1999-02-23,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909
39322,3AJwUDP919kvQ9QcozQPxg,Yellow,86,266773,0,['Coldplay'],2000-07-10,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
39324,60a0Rd6pjrkxjPbaKzXjfq,In the End,84,216880,0,['Linkin Park'],2000-10-24,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
39326,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,84,284200,1,['Eminem'],2000-05-23,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
39328,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,82,270507,1,['Outkast'],2000-10-31,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948
39330,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,81,211160,0,['Britney Spears'],2000-05-16,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053
39332,3UmaczJpikHgJFyBTAJVoz,Stan,80,404107,1,"['Eminem', 'Dido']",2000-05-23,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063
39334,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,80,233933,0,['3 Doors Down'],2000-01-01,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
40322,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,82,199907,1,['Papa Roach'],2001-04-25,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598
40326,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,81,210240,0,['System Of A Down'],2001-09-04,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
40328,6GG73Jik4jUlQCkKg9JuGO,The Middle,80,165853,0,['Jimmy Eat World'],2001-07-17,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
40330,0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,80,223840,0,['Nickelback'],2001-09-11,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094
41320,4xkOaSrkexMciUUogZKVTS,'Till I Collapse,85,297787,1,"['Eminem', 'Nate Dogg']",2002-05-26,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447
41321,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,85,290320,1,['Eminem'],2002-05-26,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
41322,75JFxkI2RXiU7L9VXzMkle,The Scientist,84,309600,0,['Coldplay'],2002-08-08,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277
41325,4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,80,259453,0,['Maroon 5'],2002-01-01,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0
42285,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,84,231733,0,['The White Stripes'],2003-04-01,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881
42286,6I9VzXrHxO9rA9A5euc8Ak,Toxic,83,198800,0,['Britney Spears'],2003-11-13,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
42289,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,81,235893,0,['Evanescence'],2003-03-04,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
42292,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,80,235213,0,['Outkast'],2003-01-01,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526
42293,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,80,228707,0,['Alicia Keys'],2003-12-02,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393
43276,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),83,250373,0,"['Usher', 'Lil Jon', 'Ludacris']",2004-03-23,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018
43277,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,82,222973,0,['The Killers'],2004-01-01,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
43278,6nTiIhLmQ3FWhvrGafw2zj,American Idiot,80,176346,1,['Green Day'],2004-09-21,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
43279,68vgtRHr7iZHpzGpon6Jlo,My Boo,80,223440,0,"['Usher', 'Alicia Keys']",2004-03-23,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412
44239,2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,87,243773,0,['Gym Class Heroes'],2005-02-22,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953
44240,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),84,218093,0,"['Shakira', 'Wyclef Jean']",2005-11-28,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024
44242,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,83,222640,0,['Gorillaz'],2005-05-23,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559
44244,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,83,295533,0,['Coldplay'],2005-06-07,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
44246,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,83,262533,0,['The Fray'],2005-09-13,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035
44247,4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,82,232533,0,"[""Plain White T's""]",2005-01-01,0.656,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.971
44249,5D2mYZuzcgjpchVY1pmTPh,Candy Shop,80,209107,1,"['50 Cent', 'Olivia']",2005-03-03,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173
44250,4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,80,246960,0,['Rihanna'],2005-08-29,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019
44252,2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",80,229093,0,['Fall Out Boy'],2005-05-03,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011
45218,2gam98EZKrF9XuOkU13ApN,Promiscuous,82,242293,0,"['Nelly Furtado', 'Timbaland']",2006-01-01,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
45219,0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),81,242733,1,"['Justin Timberlake', 'Timbaland']",2006-09-12,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
45221,2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),80,334667,0,['Red Hot Chili Peppers'],2006-05-09,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655
45222,7j31rVgGX9Q2blT92VBEA0,Teenagers,80,161920,0,['My Chemical Romance'],2006-10-23,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
46196,1zzxoZVylsna2BQB65Ppcb,X Gon' Give It To Ya,83,217587,1,['DMX'],2007-06-12,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027
46199,0BxE4FqsDD1Ot4YuBXwAPp,505,81,253587,0,['Arctic Monkeys'],2007-04-22,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266
